idvotacao;deputado_id;voto;deputado_nome;deputado_siglapartido;deputado_siglauf
2162116-161;204541;Não;Eduardo Bismarck;PV;CE
2162116-161;141421;Não;Eduardo da Fonte;PP;PE
2162116-161;220589;Não;Eduardo Velloso;SOLIDARIEDADE;AC
2162116-161;204364;Não;Eli Borges;PL;TO
2162116-161;198783;Não;Emanuel Pinheiro Neto;PSD;MT
2162116-161;161550;Não;Emidinho Madeira;PL;MG
2162116-161;230765;Não;Enfermeira Rejane;PCDOB;RJ
2162116-161;220663;Não;Eriberto Medeiros;PSB;PE
2162116-161;220645;Não;Erika Hilton;PSOL;SP
2162116-161;160575;Não;Erika Kokay;PT;DF
2162116-161;160640;Não;Eros Biondini;PL;MG
2162116-161;178871;Sim;Evair Vieira de Melo;PP;ES
2162116-161;220681;Não;Fábio Macedo;PODE;MA
2162116-161;171623;Não;Fabio Reis;PSD;SE
2162116-161;204368;Sim;Fabio Schiochet;UNIÃO;SC
2162116-161;220653;Não;Fábio Teruel;MDB;SP
2162116-161;220712;Não;Fausto Jr.;UNIÃO;AM
2162116-161;220646;Não;Felipe Becari;PODE;SP
2162116-161;72442;Não;Felipe Carreras;PSB;PE
2162116-161;204398;Sim;Felipe Francischini;PODE;PR
2162116-161;160666;Não;Félix Mendonça Júnior;PDT;BA
2162116-161;204407;Não;Fernanda Melchionna;PSOL;RS
2162116-161;220656;Não;Fernanda Pessoa;PSD;CE
2162116-161;141431;Não;Fernando Coelho Filho;UNIÃO;PE
2162116-161;204445;Não;Fernando Mineiro;PT;RN
2162116-161;92699;Não;Fernando Monteiro;PSD;PE
2162116-161;204427;Não;Fernando Rodolfo;PRD;PE
2162116-161;220545;Não;Filipe Martins;PL;TO
2162116-161;160598;Não;Flávia Morais;PDT;GO
2162116-161;191923;Sim;Flávio Nogueira;PT;PI
2162116-161;220700;Não;Florentino Neto;PT;PI
2162116-161;220551;Não;Franciane Bayer;REPUBLICANOS;RS
2162116-161;220534;Não;Fred Linhares;REPUBLICANOS;DF
2162116-161;224117;Não;Gabriel Mota;UNIÃO;RR
2162116-161;220708;Não;Gabriel Nunes;PSD;BA
2162116-161;204473;Não;General Girão;PL;RN
2162116-161;220611;Não;General Pazuello;PL;RJ
2162116-161;178966;Não;Geovania de Sá;PSDB;SC
2162116-161;220702;Não;Geraldo Mendes;UNIÃO;PR
2162116-161;74374;Não;Geraldo Resende;PSDB;MS
2162116-161;204394;Não;Gervásio Maia;PCDOB;PB
2162116-161;204491;Não;Gilberto Abramo;REPUBLICANOS;MG
