 sigla_partido | votos_registrados | deputados_votantes | votacoes 
 AVANTE        | segmento                      |          2
 AVANTE        | ampliação                     |          2
 AVANTE        | farias                        |          2
 AVANTE        | fauna                         |          2
 AVANTE        | federado                      |          2
 AVANTE        | 1943                          |          2
 AVANTE        | selo                          |          2
 AVANTE        | seminário                     |          2
 AVANTE        | senhor                        |          2
 AVANTE        | 1966                          |          2
 AVANTE        | serviço                       |          2
 AVANTE        | setor                         |          2
 AVANTE        | seu                           |          2
 AVANTE        | ferrovia                      |          2
 AVANTE        | chave                         |          2
 AVANTE        | suas                          |          2
 AVANTE        | cidadãos                      |          2
 AVANTE        | fins                          |          2
 AVANTE        | fiscais                       |          2
 AVANTE        | fiscal                        |          2
 AVANTE        | superior                      |          2
 AVANTE        | circunstâncias                |          2
 AVANTE        | 13272025                      |          2
 AVANTE        | susta                         |          2
 AVANTE        | florianópolis                 |          2
 AVANTE        | tcdf                          |          2
 AVANTE        | tcu                           |          2
 AVANTE        | florianópolissc               |          2
 AVANTE        | técnico                       |          2
 AVANTE        | anp                           |          2
 AVANTE        | tentativa                     |          2
 AVANTE        | anual                         |          2
 AVANTE        | fonoaudiologia                |          2
 AVANTE        | fonograma                     |          2
 AVANTE        | clt                           |          2
 AVANTE        | anuência                      |          2
 AVANTE        | cnh                           |          2
 AVANTE        | todas                         |          2
 AVANTE        | todos                         |          2
 AVANTE        | touchpeace                    |          2
 AVANTE        | funcionamento                 |          2
 AVANTE        | tráfico                       |          2
 AVANTE        | fundação                      |          2
 AVANTE        | transição                     |          2
 AVANTE        | cobertura                     |          2
 AVANTE        | garantindo                    |          2
 AVANTE        | gás                           |          2
 AVANTE        | gerais                        |          2
 AVANTE        | veiculadas                    |          2
 AVANTE        | veicular                      |          2
 AVANTE        | gestor                        |          2
 AVANTE        | coletivo                      |          2
 AVANTE        | gmms                          |          2
 AVANTE        | vida                          |          2
 AVANTE        | 2002                          |          2
 AVANTE        | violento                      |          2
 AVANTE        | 185                           |          2
 AVANTE        | habilidades                   |          2
 AVANTE        | votos                         |          2
 AVANTE        | hildo                         |          2
 AVANTE        | técnicos                      |          1
 AVANTE        | tecnologias                   |          1
 AVANTE        | tecnológico                   |          1
 AVANTE        | teor                          |          1
 AVANTE        | terapêuticas                  |          1
 AVANTE        | terapias                      |          1
 AVANTE        | território                    |          1
 AVANTE        | territórios                   |          1
 AVANTE        | texto                         |          1
 AVANTE        | tgd                           |          1
 AVANTE        | tipicidade                    |          1
 AVANTE        | tipificação                   |          1
 AVANTE        | tipificar                     |          1
 AVANTE        | tipo                          |          1
 AVANTE        | toda                          |          1
 AVANTE        | todo                          |          1
 AVANTE        | tornar                        |          1
 AVANTE        | total                         |          1
 AVANTE        | trabalharão                   |          1
 AVANTE        | transexuais                   |          1
 AVANTE        | transtornos                   |          1
 AVANTE        | traumática                    |          1
 AVANTE        | travestidos                   |          1
 AVANTE        | tropa                         |          1
 AVANTE        | unidades                      |          1
 AVANTE        | unificado                     |          1
 AVANTE        | usos                          |          1
 AVANTE        | usuário                       |          1
 AVANTE        | valorização                   |          1
 AVANTE        | vedações                      |          1
