deputy_id;name;party;valid_votes;missing_votes;kept_after_filter;reason_if_removed
220593;Abilio Brunini;PL;317;57;True;
220594;Coronel Assis;PL;967;2;True;
220595;Coronel Fernanda;PL;938;74;True;
220596;Amália Barros;PL;269;40;True;
220597;Thiago Flores;REPUBLICANOS;829;0;True;
220598;Tarcísio Motta;PSOL;1009;9;True;
220599;Marcelo Crivella;REPUBLICANOS;921;2;True;
220600;Lebrão;UNIAO;495;2;True;
220601;Washington Quaquá;PT;283;0;True;
220602;Dimas Gadelha;PT;837;0;True;
220603;Dani Cunha;PL;820;0;True;
220604;Marcos Tavares;PDT;810;0;True;
220605;Bandeira de Mello;PV;925;0;True;
220606;Reimont;PT;893;2;True;
220607;Max Lemos;PDT;919;0;True;
220608;Cristiane Lopes;PODE;897;0;True;
220609;Maurício Carvalho;UNIAO;827;0;True;
220610;Dr. Fernando Máximo;UNIAO;793;0;True;
220611;General Pazuello;PL;869;75;True;
220612;Bebeto;PP;985;2;True;
220613;Roberto Monteiro Pai;PL;818;76;True;
220614;Dr. Daniel Soranz;PSD;184;0;True;
220615;Pastor Henrique Vieira;PSOL;948;12;True;
220616;Luciano Vieira;PSDB;753;9;True;
220617;Murillo Gouvea;UNIAO;881;1;True;
220618;Sargento Portugal;PODE;886;0;True;
220619;Delegado Ramagem;PL;892;66;True;
220620;Rosângela Reis;PL;913;37;True;
220621;Sargento Gonçalves;PL;907;91;True;
220622;Nely Aquino;PODE;758;2;True;
220623;Duda Salabert;PSOL;823;9;True;
220624;Robinson Faria;PP;1013;0;True;
220625;Delegada Ione;AVANTE;772;1;True;
220626;Rafael Simoes;UNIAO;881;2;True;
220627;Paulinho Freire;UNIAO;391;6;True;
220628;Mauricio do Vôlei;PL;809;64;True;
220629;Dandara;PT;713;0;True;
220630;Pedro Aihara;PP;857;0;True;
220631;Samuel Viana;REPUBLICANOS;848;3;True;
220632;Ana Pimentel;PT;899;4;True;
220633;Ricardo Salles;NOVO;622;65;True;
220634;Marcelo Lima;PSB;186;3;True;
220635;Bruno Ganem;PODE;919;1;True;
220637;Marina Silva;REDE;31;5;True;
220638;Antonio Carlos Rodrigues;PL;884;56;True;
